name,code,margin,multiply,prod,cust
白银,ag,12,3,36,40
铝,al,8,3,24,32
黄金,au,8,3,24,32
铜,cu,8,3,24,32
铅,pb,8,3,24,32
螺纹钢,rb,7,3,21,30
不锈钢,ss,7,3,21,30
橡胶,ru,10,3,30,36
线材,wr,7,3,21,30
燃油,fu,10,3,30,36
镍,ni,8,3,24,32
锡,sn,8,3,24,32
锌,zn,8,3,24,32
沥青,bu,10,3,30,36
纸浆,sp,7,3,21,30
热轧卷板,hc,7,3,21,30
大豆一,a,10,3,30,36
大豆二,b,9,3,27,36
玉米,c,8,3,24,32
玉米淀粉,cs,7,3,21,30
焦炭,j,9,3,27,30
塑料,l,11,3,33,33
豆粕,m,8,3,24,32
生猪,lh,15,3,45,45
棕榈油,p,9,3,27,36
pvc,v,9,3,27,36
乙二醇,eg,11,3,33,33
液化气,pg,11,3,33,33
焦煤,jm,9,3,27,36
豆油,y,8,3,24,32
梗米,rr,6,3,18,36
铁矿石,i,11,3,33,36
苯乙烯,eb,12,3,36,36
鲜鸡蛋,jd,7,3,21,30
pp,pp,11,3,33,33
纤维板,fb,10,3,30,30
胶合板,bb,40,3,120,50
小麦,PM,6,3,18,30
早籼稻,RI,6,3,18,30
强麦,WH,7,3,21,30
PTA,TA,6,3,18,30
一号棉,CF,7,3,21,30
棉纱,CY,7,3,21,30
苹果,AP,8,3,24,32
菜籽油,OI,6,3,18,30
花生,PK,4,3,12,24
白糖,SR,7,3,21,30
纯碱,SA,6,3,18,30
玻璃,FG,6,3,18,30
油菜籽,RS,20,3,60,50
甲醇,MA,7,3,21,30
梗稻,JR,6,3,18,30
硅铁,SF,7,3,21,30
锰铁,SM,7,3,21,30
尿素,UR,5,3,15,30
短纤,PF,7,3,21,30
晚籼稻,LR,6,3,18,30
动力煤,ZC,5,3,15,30
红枣,CJ,7,3,21,30
原油,sc,10,3,30,36
低硫燃料油,lu,10,3,30,36
20号胶,nr,10,3,30,36
国际铜,bc,8,3,24,33
沪深300,IF,11,3,33,33
上证50,IH,11,3,33,33
中证500,IC,13,3,39,33
10年国债,T,2,3,6,9
5年国债,TF,1.2,3,3.6,5
2年国债,TS,0.5,3,1.5,3
